iter	Passed	Remaining
149	14683	132153
150	14780	132045
151	14887	132029
152	14993	132005
153	15106	132032
154	15206	131956
155	15299	131812
156	15392	131672
157	15484	131524
158	15587	131464
159	15691	131417
160	15796	131376
161	15891	131249
162	16002	131261
163	16097	131135
164	16190	130999
165	16304	131021
166	16353	130534
167	16448	130411
168	16545	130311
169	16645	130228
170	16751	130194
171	16855	130139
172	16960	130099
173	17061	130018
174	17150	129853
175	17246	129740
176	17354	129721
177	17437	129510
178	17540	129447
179	17651	129444
180	17764	129453
181	17864	129366
182	17951	129190
183	18051	129104
184	18151	129023
185	18246	128902
186	18340	128778
187	18442	128708
188	18541	128614
189	18652	128605
190	18754	128529
191	18840	128349
192	18933	128219
193	19033	128131
194	19126	127998
195	19230	127939
196	19322	127805
197	19408	127622
198	19505	127522
199	19591	127347
200	19687	127233
201	19791	127172
202	19904	127173
203	19994	127021
204	20108	127025
205	20206	126931
206	20308	126855
207	20402	126728
208	20495	126603
209	20592	126494
210	20683	126353
211	20777	126232
212	20881	126169
213	20960	125957
214	21063	125888
215	21174	125871
216	21283	125835
217	21383	125749
218	21457	125512
219	21553	125404
220	21633	125197
221	21724	125062
222	21819	124949
223	21919	124864
224	22029	124833
225	22109	124636
226	22207	124538
227	22306	124446
228	22408	124372
229	22508	124285
230	22606	124190
231	22694	124034
232	22784	123897
233	22880	123787
234	22985	123732
235	23102	123734
236	23199	123630
237	23293	123516
238	23398	123452
239	23504	123399
240	23603	123306
241	23692	123159
242	23795	123091
243	23898	123020
244	24002	122952
245	24106	122883
246	24211	122821
247	24309	122721
248	24413	122656
249	24508	122542
250	24604	122435
251	24711	122383
252	24825	122362
253	24922	122255
254	25019	122153
255	25132	122127
256	25227	122013
257	25318	121880
258	25407	121738
259	25518	121701
260	25614	121595
261	25715	121511
262	25805	121373
263	25902	121270
264	25996	121155
265	26113	121140
266	26223	121099
267	26322	121003
268	26427	120938
269	26534	120881
270	26637	120802
271	26747	120755
272	26841	120639
273	26936	120527
274	27045	120476
275	27160	120450
276	27268	120394
277	27376	120337
278	27471	120225
279	27581	120174
280	27671	120040
281	27769	119939
282	27861	119813
283	27957	119704
284	28045	119564
285	28132	119415
286	28207	119219
287	28303	119108
288	28398	119000
289	28485	118855
290	28581	118747
291	28685	118670
292	28783	118572
293	28884	118485
294	28974	118354
295	29075	118266
296	29176	118180
297	29268	118057
298	29369	117970
299	29459	117839
300	29564	117768
301	29649	117616
302	29744	117505
303	29846	117420
304	29959	117382
305	30075	117354
306	30175	117262
307	30281	117195
308	30380	117098
309	30474	116984
310	30575	116895
311	30672	116789
312	30768	116684
313	30860	116561
314	30957	116459
315	31051	116343
316	31140	116213
317	31234	116097
318	31329	115988
319	31430	115900
320	31541	115849
321	31637	115743
322	31722	115595
323	31811	115465
324	31919	115402
325	32042	115392
326	32139	115290
327	32241	115205
328	32344	115123
329	32443	115026
330	32532	114894
331	32615	114743
332	32721	114674
333	32812	114550
334	32924	114498
335	33022	114400
336	33115	114282
337	33216	114195
338	33303	114058
339	33408	113981
340	33509	113891
341	33614	113818
342	33711	113716
343	33817	113641
344	33933	113604
345	34040	113534
346	34146	113460
347	34297	113535
348	34390	113418
349	34504	113372
350	34606	113283
351	34723	113246
352	34835	113189
353	34964	113191
354	35089	113175
355	35201	113119
356	35373	113255
357	35511	113279
358	35627	113235
359	35735	113161
360	35852	113119
361	35961	113049
362	36065	112964
363	36184	112926
364	36301	112882
365	36436	112893
366	36541	112810
367	36668	112796
368	36769	112699
369	36889	112661
370	37005	112611
371	37127	112581
372	37225	112473
373	37331	112393
374	37451	112353
375	37568	112306
376	37686	112259
377	37777	112132
378	37891	112073
379	38005	112017
380	38115	111945
381	38240	111918
382	38358	111871
383	38478	111827
384	38594	111774
385	38711	111721
386	38830	111676
387	38952	111636
388	39060	111559
389	39174	111495
390	39277	111404
391	39404	111379
392	39520	111319
393	39628	111240
394	39722	111123
395	39839	111068
396	39953	111004
397	40063	110930
398	40170	110846
399	40277	110762
400	40385	110681
401	40498	110614
402	40627	110592
403	40740	110524
404	40838	110413
405	40945	110330
406	41054	110253
407	41171	110194
408	41270	110088
409	41378	110006
410	41474	109891
411	41588	109825
412	41701	109755
413	41826	109717
414	41936	109640
415	42074	109636
416	42183	109555
417	42298	109491
418	42415	109429
419	42518	109333
420	42646	109300
421	42766	109247
422	42881	109179
423	42981	109076
424	43091	108995
425	43204	108924
426	43311	108835
427	43429	108775
428	43562	108753
429	43662	108648
430	43783	108595
431	43880	108481
432	44005	108437
433	44115	108356
434	44235	108300
435	44344	108216
436	44450	108126
437	44556	108035
438	44683	107992
439	44799	107925
440	44927	107887
441	45049	107833
442	45173	107783
443	45280	107694
444	45403	107642
445	45515	107562
446	45629	107489
447	45733	107392
448	45840	107300
449	45946	107207
450	46059	107132
451	46159	107024
452	46277	106959
453	46383	106864
454	46512	106826
455	46611	106715
456	46717	106622
457	46824	106530
458	46944	106468
459	47063	106403
460	47183	106341
461	47293	106255
462	47412	106191
463	47516	106092
464	47623	106001
465	47725	105898
466	47835	105811
467	47954	105745
468	48086	105708
469	48193	105614
470	48317	105559
471	48426	105471
472	48538	105390
473	48634	105271
474	48759	105217
475	48868	105129
476	48995	105079
477	49118	105018
478	49236	104948
479	49328	104822
480	49428	104715
481	49538	104627
482	49659	104563
483	49772	104481
484	49896	104423
485	50028	104380
486	50147	104309
487	50268	104246
488	50377	104154
489	50488	104067
490	50615	104014
491	50725	103926
492	50847	103860
493	50958	103773
494	51061	103669
495	51175	103588
496	51280	103489
497	51377	103374
498	51481	103272
499	51586	103173
500	51697	103084
501	51826	103034
502	51954	102978
503	52066	102894
504	52180	102811
505	52298	102735
506	52409	102647
507	52500	102520
508	52591	102392
509	52689	102280
510	52799	102188
511	52920	102119
512	53034	102036
513	53142	101943
514	53237	101824
515	53337	101713
516	53454	101635
517	53547	101513
518	53661	101429
519	53783	101360
520	53904	101289
521	54049	101264
522	54156	101168
523	54270	101084
524	54376	100984
525	54535	100984
526	54632	100867
527	54759	100806
528	54881	100737
529	54997	100656
530	55110	100568
531	55225	100485
532	55338	100398
533	55443	100297
534	55561	100219
535	55667	100117
536	55769	100010
537	55892	99941
538	56017	99874
539	56134	99794
540	56246	99705
541	56358	99614
542	56474	99531
543	56582	99434
544	56700	99355
545	56815	99271
546	56926	99179
547	57049	99107
548	57155	99007
549	57264	98912
550	57362	98797
551	57467	98693
552	57589	98621
553	57695	98520
554	57803	98422
555	57902	98309
556	58024	98234
557	58155	98176
558	58288	98120
559	58409	98045
560	58521	97953
561	58625	97848
562	58721	97730
563	58851	97667
564	58969	97586
565	59086	97503
566	59203	97420
567	59327	97346
568	59451	97274
569	59559	97175
570	59674	97089
571	59780	96986
572	59887	96886
573	59990	96778
574	60102	96687
575	60220	96603
576	60321	96494
577	60436	96405
578	60528	96281
579	60637	96182
580	60732	96063
581	60834	95955
582	60971	95901
583	61078	95800
584	61177	95687
585	61292	95599
586	61393	95489
587	61531	95436
588	61665	95377
589	61768	95270
590	61886	95186
591	62018	95123
592	62119	95012
593	62228	94914
594	62332	94808
595	62449	94722
596	62546	94605
597	62640	94483
598	62755	94395
599	62854	94281
600	62980	94208
601	63095	94119
602	63195	94007
603	63303	93907
604	63427	93830
605	63541	93739
606	63664	93661
607	63776	93566
608	63896	93483
609	64026	93415
610	64123	93298
611	64248	93222
612	64361	93130
613	64470	93030
614	64585	92940
615	64677	92817
616	64783	92712
617	64915	92646
618	65048	92580
619	65187	92524
620	65289	92414
621	65412	92334
622	65510	92219
623	65629	92133
624	65743	92041
625	65879	91978
626	65983	91872
627	66081	91756
628	66182	91645
629	66299	91556
630	66402	91447
631	66519	91358
632	66631	91263
633	66742	91165
634	66843	91054
635	66955	90958
636	67064	90858
637	67169	90751
638	67277	90650
639	67373	90533
640	67494	90449
641	67610	90358
642	67732	90274
643	67852	90189
644	67986	90121
645	68106	90036
646	68200	89915
647	68317	89825
648	68431	89730
649	68554	89648
650	68658	89541
651	68772	89446
652	68889	89355
653	69024	89288
654	69121	89172
655	69239	89082
656	69341	88972
657	69452	88873
658	69567	88779
659	69682	88686
660	69789	88583
661	69916	88504
662	70036	88417
663	70149	88320
664	70260	88222
665	70377	88130
666	70489	88032
667	70601	87934
668	70712	87835
669	70833	87749
670	70951	87657
671	71061	87557
672	71153	87435
673	71269	87341
674	71402	87270
675	71513	87169
676	71641	87091
677	71746	86985
678	71857	86884
679	71977	86796
680	72086	86694
681	72198	86596
682	72307	86493
683	72428	86405
684	72542	86309
685	72667	86226
686	72776	86124
687	72877	86011
688	72997	85922
689	73114	85830
690	73228	85733
691	73337	85631
692	73453	85536
693	73565	85437
694	73677	85338
695	73790	85241
696	73907	85147
697	74025	85054
698	74141	84960
699	74249	84856
700	74357	84753
701	74463	84646
702	74575	84546
703	74692	84453
704	74792	84340
705	74921	84259
706	75049	84178
707	75177	84097
708	75293	84001
709	75415	83912
710	75508	83792
711	75629	83702
712	75736	83597
713	75865	83515
714	75981	83420
715	76081	83307
716	76188	83201
717	76292	83092
718	76416	83005
719	76525	82902
720	76643	82808
721	76755	82708
722	76879	82621
723	77007	82538
724	77119	82438
725	77231	82337
726	77360	82255
727	77462	82144
728	77572	82041
729	77683	81940
730	77794	81838
731	77921	81753
732	78040	81660
733	78137	81543
734	78255	81449
735	78377	81359
736	78491	81260
737	78597	81153
738	78715	81058
739	78809	80939
740	78934	80852
741	79049	80753
742	79155	80646
743	79261	80539
744	79358	80424
745	79471	80323
746	79581	80220
747	79681	80107
748	79790	80003
749	79890	79890
750	80019	79806
751	80148	79722
752	80267	79627
753	80371	79519
754	80490	79424
755	80599	79320
756	80697	79204
757	80800	79094
758	80905	78986
759	81009	78877
760	81121	78776
761	81247	78688
762	81355	78582
763	81447	78462
764	81570	78371
765	81686	78273
766	81786	78160
767	81899	78060
768	82012	77959
769	82121	77855
770	82235	77755
771	82353	77659
772	82464	77556
773	82582	77460
774	82685	77350
775	82828	77278
776	82949	77184
777	83081	77101
778	83201	77007
779	83312	76904
780	83443	76819
781	83575	76735
782	83700	76644
783	83831	76560
784	83966	76479
785	84088	76385
786	84219	76300
787	84358	76222
788	84492	76139
789	84638	76067
790	84775	75987
791	84934	75926
792	85122	75890
793	85274	75823
794	85479	75802
795	85666	75765
796	85852	75727
797	86105	75747
798	86376	75782
799	86694	75857
800	87267	76154
801	88024	76609
802	89074	77315
803	89857	77786
804	90834	78422
805	91669	78931
806	92579	79501
807	93368	79964
808	94159	80425
809	94895	80836
810	95800	81389
811	96603	81850
812	97464	82359
813	98417	82941
814	99038	83241
815	99765	83627
816	100552	84060
817	101296	84454
818	102086	84884
819	102712	85176
820	103477	85580
821	104245	85983
822	104974	86352
823	105683	86701
824	106455	87100
825	107245	87509
826	107962	87858
827	108721	88237
828	109384	88536
829	110095	88871
830	110812	89209
831	111565	89574
832	112384	89988
833	113149	90357
834	113960	90759
835	114636	91050
836	115320	91346
837	116008	91644
838	116668	91916
839	117358	92210
840	118015	92476
841	118682	92747
842	119442	93088
843	120149	93386
844	120903	93718
845	121621	94019
846	122228	94232
847	122873	94473
848	123534	94724
849	124673	95338
850	125854	95980
851	127032	96616
852	128240	97270
853	129738	98139
854	130861	98720
855	132147	99419
856	133556	100206
857	134733	100814
858	136174	101615
859	137610	102407
860	138942	103117
861	140288	103832
862	141886	104729
863	143605	105709
864	145273	106646
865	146760	107443
866	148040	108085
867	149102	108563
868	150305	109140
869	151341	109592
870	152375	110038
871	153596	110617
872	154864	111225
873	155734	111544
874	156256	111611
875	156757	111663
876	157336	111767
877	157779	111775
878	158333	111860
879	158831	111903
880	159325	111943
881	159692	111893
882	160192	111935
883	160638	111938
884	161136	111976
885	161672	112039
886	162149	112060
887	162590	112055
888	163081	112084
889	163556	112100
890	163952	112061
891	164515	112136
892	164893	112083
893	165351	112084
894	165855	112114
895	166367	112149
896	166822	112144
897	167328	112173
898	167729	112130
899	168262	112174
900	168691	112148
901	169194	112171
902	169576	112112
903	170139	112171
904	170622	112177
905	171153	112213
906	171698	112257
907	172210	112277
908	172672	112265
909	173135	112252
910	173583	112229
911	174042	112211
912	174941	112475
913	175498	112518
914	175940	112486
915	176499	112527
916	176927	112485
917	177366	112448
918	177796	112404
919	178403	112471
920	178883	112457
921	179380	112453
922	179813	112408
923	180218	112343
924	180822	112403
925	181318	112394
926	181738	112337
927	182200	112304
928	182634	112254
929	183028	112178
930	183565	112190
931	184035	112159
932	184482	112113
933	184875	112033
934	185368	112013
935	185874	112001
936	186449	112028
937	186881	111969
938	187401	111962
939	187777	111867
940	188284	111850
941	188691	111772
942	189227	111770
943	189629	111688
944	190150	111675
945	190627	111636
946	191125	111607
947	191597	111563
948	192026	111492
949	192406	111393
950	192900	111358
951	193307	111273
952	193735	111199
953	194278	111191
954	194718	111122
955	195135	111039
956	195586	110975
957	196013	110896
958	196470	110834
959	196978	110800
960	197447	110743
961	197889	110669
962	198387	110627
963	198850	110564
964	199318	110502
965	199745	110418
966	200266	110384
967	200689	110296
968	201181	110244
969	201694	110204
970	202300	110213
971	202662	110088
972	203186	110050
973	203679	109995
974	204147	109925
975	204627	109861
976	205175	109833
977	205556	109714
978	206010	109633
979	206551	109598
980	207010	109519
981	207477	109443
982	207869	109327
983	208397	109281
984	208768	109153
985	209262	109088
986	209666	108975
987	210154	108905
988	210674	108851
989	211152	108775
990	211656	108711
991	212135	108634
992	212586	108541
993	212946	108401
994	213408	108312
995	213870	108223
996	214403	108169
997	214880	108086
998	215415	108030
999	215898	107949
1000	216349	107850
1001	216832	107767
1002	217424	107736
1003	217827	107611
1004	218264	107503
1005	218728	107407
1006	219275	107351
1007	219643	107207
1008	220189	107148
1009	220704	107074
1010	221225	107002
1011	221704	106908
1012	222203	106824
1013	222637	106707
1014	223202	106653
1015	223557	106497
1016	224073	106418
1017	224530	106309
1018	225004	106209
1019	225577	106153
1020	226084	106067
1021	226506	105939
1022	226900	105798
1023	227353	105683
1024	227773	105553
1025	228220	105435
1026	228593	105282
1027	229147	105211
1028	229627	105106
1029	230056	104977
1030	230593	104896
1031	231151	104824
1032	231634	104717
1033	232091	104598
1034	232581	104492
1035	232994	104352
1036	233388	104203
1037	233866	104090
1038	234298	103957
1039	234744	103829
1040	235275	103738
1041	235695	103597
1042	236244	103512
1043	236703	103387
1044	237168	103264
1045	237545	103102
1046	238008	102977
1047	238491	102861
1048	238971	102741
1049	239408	102603
1050	239823	102455
1051	240403	102377
1052	240919	102270
1053	241363	102133
1054	241842	102009
1055	242330	101888
1056	242753	101740
1057	243178	101592
1058	243662	101468
1059	244156	101347
1060	244524	101174
1061	245003	101046
1062	245478	100916
1063	246002	100805
1064	246559	100707
1065	247096	100600
1066	247467	100424
1067	247894	100271
1068	248311	100114
1069	248666	99931
1070	249099	99779
1071	249505	99616
1072	249995	99485
1073	250504	99362
1074	251045	99250
1075	251478	99095
1076	251949	98955
1077	252430	98818
1078	252881	98668
1079	253424	98554
1080	253886	98407
1081	254319	98249
1082	254688	98065
1083	255274	97965
1084	255741	97818
1085	256245	97684
1086	256695	97529
1087	257187	97390
1088	257637	97235
1089	258137	97097
1090	258579	96937
1091	259141	96821
1092	259498	96629
1093	259924	96461
1094	260415	96318
1095	260833	96146
1096	261300	95992
1097	261769	95839
1098	262274	95697
1099	262687	95522
1100	263323	95428
1101	263684	95232
1102	264285	95123
1103	264655	94930
1104	265077	94756
1105	265515	94586
1106	266034	94445
1107	266718	94362
1108	267275	94233
1109	267636	94034
1110	268009	93839
1111	268471	93675
1112	268970	93523
1113	269424	93355
1114	269950	93211
1115	270427	93050
1116	270952	92905
1117	271426	92741
1118	271901	92577
1119	272316	92392
1120	272660	92184
1121	273159	92026
1122	273573	91840
1123	273991	91655
1124	274526	91508
1125	274992	91338
1126	275515	91186
1127	276029	91030
1128	276636	90905
1129	277158	90750
1130	277535	90548
1131	278118	90413
1132	278528	90220
1133	278976	90040
1134	279468	89873
1135	279862	89674
1136	280409	89523
1137	280864	89343
1138	281339	89169
1139	281854	89006
1140	282298	88821
1141	282672	88613
1142	283202	88454
1143	283629	88262
1144	284042	88065
1145	284529	87891
1146	284934	87691
1147	285508	87542
1148	285980	87362
1149	286465	87185
1150	286958	87009
1151	287417	86823
1152	287894	86642
1153	288446	86483
1154	288893	86292
1155	289348	86103
1156	289787	85909
1157	290325	85743
1158	290784	85554
1159	291307	85383
1160	291759	85190
1161	292186	84990
1162	292545	84770
1163	292965	84567
1164	293469	84388
1165	294005	84217
1166	294931	84157
1167	295499	83994
1168	295975	83804
1169	296471	83620
1170	296884	83411
1171	297372	83223
1172	297811	83021
1173	298242	82817
1174	298680	82613
1175	299169	82424
1176	299519	82196
1177	299941	81987
1178	300412	81791
1179	300934	81609
1180	301496	81437
1181	301922	81227
1182	302422	81037
1183	302886	80838
1184	303344	80635
1185	303867	80450
1186	304284	80236
1187	304707	80024
1188	305234	79838
1189	305610	79612
1190	306248	79454
1191	306676	79241
1192	307119	79032
1193	307524	78812
1194	308023	78616
1195	308413	78392
1196	308875	78186
1197	309353	77983
1198	309767	77764
1199	310292	77573
1200	310738	77361
1201	311253	77165
1202	311734	76961
1203	312291	76775
1204	312704	76554
1205	313257	76366
