iter	Logloss
0	0.616946556
1	0.5476232241
2	0.4965639582
3	0.4516459208
4	0.4114271488
5	0.3854688499
6	0.3629473009
7	0.344724185
8	0.3305012417
9	0.3122745936
10	0.3013652737
11	0.2901725678
12	0.2804648132
13	0.2754731971
14	0.2704078737
15	0.2641556726
16	0.2604906092
17	0.2564848255
18	0.2505716077
19	0.2475686143
20	0.2453074794
21	0.2432604266
22	0.2402239462
23	0.2393671884
24	0.2382733272
25	0.236979571
26	0.235501408
27	0.234160907
28	0.2329820947
29	0.232128016
30	0.2316982329
31	0.2308892573
32	0.2305086699
33	0.2299416539
34	0.2295258878
35	0.2292886378
36	0.2287867605
37	0.2285208484
38	0.2282859501
39	0.2277755869
40	0.2276082337
41	0.2272449299
42	0.2271116257
43	0.2268949775
44	0.2266125317
45	0.2263621041
46	0.2261357259
47	0.2259641598
48	0.2258722107
49	0.2257691564
50	0.2255439693
51	0.2253378197
52	0.224998841
53	0.2248825036
54	0.2247518038
55	0.224598692
56	0.2244939443
57	0.2243698439
58	0.2242978245
59	0.224190274
60	0.2241266332
61	0.2240462565
62	0.2239525487
63	0.2237890207
64	0.2237370161
65	0.2236736342
66	0.2236220558
67	0.223576964
68	0.2234416347
69	0.2233781397
70	0.2232226012
71	0.2231487262
72	0.2230668912
73	0.2229952615
74	0.2229573836
75	0.2228851118
76	0.2228590232
77	0.2228078211
78	0.222759362
79	0.2227166053
80	0.2226644033
81	0.2226403577
82	0.2225826198
83	0.2225559833
84	0.2224988824
85	0.222454163
86	0.2224077228
87	0.2223725068
88	0.2223528725
89	0.2223217778
90	0.2222803637
91	0.2222202711
92	0.222195477
93	0.2221506218
94	0.2221287678
95	0.2221022606
96	0.2220429441
97	0.2220130592
98	0.2219866482
99	0.2219441663
100	0.2219196528
101	0.2218859919
102	0.2218611128
103	0.2218163525
104	0.2217918287
105	0.2217551978
106	0.2216716562
107	0.2216388743
108	0.2216135315
109	0.221580112
110	0.221542394
111	0.2215228732
112	0.2214818513
113	0.2214597234
114	0.2214425161
115	0.2213858198
116	0.2213446216
117	0.2213218475
118	0.221300526
119	0.2212698448
120	0.2212420298
121	0.2211997565
122	0.2211785719
123	0.2211663636
124	0.2211471139
125	0.2211321369
126	0.2211115136
127	0.2210930369
128	0.2210644735
129	0.2210459333
130	0.2209897852
131	0.2209731115
132	0.2209549425
133	0.2209380825
134	0.2209074501
135	0.2208857487
136	0.220846793
137	0.2208337966
138	0.2208101676
139	0.2207960329
140	0.2207812154
141	0.2207660702
142	0.2207472101
143	0.2207231313
144	0.220706553
145	0.2206932855
146	0.2206675618
147	0.2206504973
148	0.2206264992
149	0.220598062
150	0.2205783837
151	0.2205555343
152	0.2205456385
153	0.220526883
154	0.2204878561
155	0.2204616838
156	0.2204512035
157	0.2204262242
158	0.2204169536
159	0.2203703345
160	0.2203522881
161	0.2203304933
162	0.2203162804
163	0.2203025942
164	0.2202829551
165	0.2202721022
166	0.2202720915
167	0.2202600691
168	0.2202478396
169	0.2202289016
170	0.2202070568
171	0.2201882024
172	0.2201659094
173	0.2201526983
174	0.2201375027
175	0.2201193655
176	0.2200980008
177	0.2200854891
178	0.2200656927
179	0.2200536733
180	0.2200404538
181	0.2200198789
182	0.2200020944
183	0.2199830315
184	0.2199704353
185	0.2199562707
186	0.2199460679
187	0.2199352096
188	0.219922786
189	0.2199110052
190	0.2198971118
191	0.2198625548
192	0.2198446071
193	0.219831558
194	0.2198240101
195	0.2198149536
196	0.2198037599
197	0.2197872158
198	0.2197806794
199	0.2197681587
200	0.2197568397
201	0.2197471797
202	0.219736159
203	0.2197221094
204	0.2197103078
205	0.2196905331
206	0.2196805548
207	0.2196710615
208	0.2196546922
209	0.2196391
210	0.2196282767
211	0.219612459
212	0.2195981412
213	0.2195813226
214	0.2195702576
215	0.2195536725
216	0.2195313384
217	0.2195186625
218	0.2195152452
219	0.2195017887
220	0.2194886098
221	0.2194790938
222	0.2194685804
223	0.2194592273
224	0.2194491872
225	0.2194331892
226	0.2194209424
227	0.2194027651
228	0.2193917277
229	0.2193780591
230	0.2193655963
231	0.2193540523
232	0.2193402725
233	0.2193228997
234	0.2193036303
